key|EBSS_Kr|EBSS_En|EBSS_Beon|EBSS_Esp|EBSS_Deu|EBSS_Idn|EBSS_Tha|EBSS_Fr|EBSS_Gan|EBSS_Rus
1011|최고 기밀이었으니 모두에게는 직전까지 숨기고 있었다. 미안하군. \n그리고... 이건 아직 우리 것이 아니라고 할까... 음...|This was a Top-Secret #1 Classified project, I had to make this a descrete subject until the very last moment. I apologize. \n Anyways.. you could say that this is not ours... yet..|This was a Top-Secret #1 Classified project, I had to make this a descrete subject until the very last moment. I apologize. \n Anyways.. you could say that this is not ours... yet..|This was a Top-Secret #1 Classified project, I had to make this a descrete subject until the very last moment. I apologize. \n Anyways.. you could say that this is not ours... yet..|This was a Top-Secret #1 Classified project, I had to make this a descrete subject until the very last moment. I apologize. \n Anyways.. you could say that this is not ours... yet..|This was a Top-Secret #1 Classified project, I had to make this a descrete subject until the very last moment. I apologize. \n Anyways.. you could say that this is not ours... yet..|This was a Top-Secret #1 Classified project, I had to make this a descrete subject until the very last moment. I apologize. \n Anyways.. you could say that this is not ours... yet..|This was a Top-Secret #1 Classified project, I had to make this a descrete subject until the very last moment. I apologize. \n Anyways.. you could say that this is not ours... yet..|This was a Top-Secret #1 Classified project, I had to make this a descrete subject until the very last moment. I apologize. \n Anyways.. you could say that this is not ours... yet..|This was a Top-Secret #1 Classified project, I had to make this a descrete subject until the very last moment. I apologize. \n Anyways.. you could say that this is not ours... yet..
1012|엣? 정식으로 배속된 것이 아니란 말입니까?|Huh? What do you mean? Isn't this issued to us directly?|Huh? What do you mean? Isn't this issued to us directly?|Huh? What do you mean? Isn't this issued to us directly?|Huh? What do you mean? Isn't this issued to us directly?|Huh? What do you mean? Isn't this issued to us directly?|Huh? What do you mean? Isn't this issued to us directly?|Huh? What do you mean? Isn't this issued to us directly?|Huh? What do you mean? Isn't this issued to us directly?|Huh? What do you mean? Isn't this issued to us directly?
1013|기쁨도 찰나, 아리엘은 멍한 표정을 지으며 고개를 갸웃했다.|The joyful moment ended rather quickly. Ariel tilted her head with curiosity with a puzzled look.|The joyful moment ended rather quickly. Ariel tilted her head with curiosity with a puzzled look.|The joyful moment ended rather quickly. Ariel tilted her head with curiosity with a puzzled look.|The joyful moment ended rather quickly. Ariel tilted her head with curiosity with a puzzled look.|The joyful moment ended rather quickly. Ariel tilted her head with curiosity with a puzzled look.|The joyful moment ended rather quickly. Ariel tilted her head with curiosity with a puzzled look.|The joyful moment ended rather quickly. Ariel tilted her head with curiosity with a puzzled look.|The joyful moment ended rather quickly. Ariel tilted her head with curiosity with a puzzled look.|The joyful moment ended rather quickly. Ariel tilted her head with curiosity with a puzzled look.
1014|...그러고보니 오늘, 크리스티나 사령관이 방문할 예정이었지?|Come to think of it... isn't it today that Commander Cristina was arriving?|Come to think of it... isn't it today that Commander Cristina was arriving?|Come to think of it... isn't it today that Commander Cristina was arriving?|Come to think of it... isn't it today that Commander Cristina was arriving?|Come to think of it... isn't it today that Commander Cristina was arriving?|Come to think of it... isn't it today that Commander Cristina was arriving?|Come to think of it... isn't it today that Commander Cristina was arriving?|Come to think of it... isn't it today that Commander Cristina was arriving?|Come to think of it... isn't it today that Commander Cristina was arriving?
1015|흐응, 발큐리아 부대가 연관됐다는 건가.|Hmm.. so you mean the the Valcuria troops are related to this?|Hmm.. so you mean the the Valcuria troops are related to this?|Hmm.. so you mean the the Valcuria troops are related to this?|Hmm.. so you mean the the Valcuria troops are related to this?|Hmm.. so you mean the the Valcuria troops are related to this?|Hmm.. so you mean the the Valcuria troops are related to this?|Hmm.. so you mean the the Valcuria troops are related to this?|Hmm.. so you mean the the Valcuria troops are related to this?|Hmm.. so you mean the the Valcuria troops are related to this?
1016|크리스티나 사령관은 발큐리아 부대장이자 역전의 용사다. \n계급은 같다고 해도 나와는 영량 차이가 너무 크지.|Commander Cristina is a Leader of the Valcuria Troops as well as a true soldier. \n Even though we wear the same ranks, she is a lot more than I am.|Commander Cristina is a Leader of the Valcuria Troops as well as a true soldier. \n Even though we wear the same ranks, she is a lot more than I am.|Commander Cristina is a Leader of the Valcuria Troops as well as a true soldier. \n Even though we wear the same ranks, she is a lot more than I am.|Commander Cristina is a Leader of the Valcuria Troops as well as a true soldier. \n Even though we wear the same ranks, she is a lot more than I am.|Commander Cristina is a Leader of the Valcuria Troops as well as a true soldier. \n Even though we wear the same ranks, she is a lot more than I am.|Commander Cristina is a Leader of the Valcuria Troops as well as a true soldier. \n Even though we wear the same ranks, she is a lot more than I am.|Commander Cristina is a Leader of the Valcuria Troops as well as a true soldier. \n Even though we wear the same ranks, she is a lot more than I am.|Commander Cristina is a Leader of the Valcuria Troops as well as a true soldier. \n Even though we wear the same ranks, she is a lot more than I am.|Commander Cristina is a Leader of the Valcuria Troops as well as a true soldier. \n Even though we wear the same ranks, she is a lot more than I am.
1017|그런 분이 이런 타이밍에 기지를 방문한다면 목적은 한 가지.|A figure like that visiting our base at such situation like this means only one thing.|A figure like that visiting our base at such situation like this means only one thing.|A figure like that visiting our base at such situation like this means only one thing.|A figure like that visiting our base at such situation like this means only one thing.|A figure like that visiting our base at such situation like this means only one thing.|A figure like that visiting our base at such situation like this means only one thing.|A figure like that visiting our base at such situation like this means only one thing.|A figure like that visiting our base at such situation like this means only one thing.|A figure like that visiting our base at such situation like this means only one thing.
1018|자세한 얘기는 크리스티나 사령관이 해 줄 것이다. \n모두들 사령관의 말을 경청하고 그녀에게 협력하도록.|Further details will be explained by Commander Cristina. \n I expect that you all listen carefully to what she has to say, and cooperate.|Further details will be explained by Commander Cristina. \n I expect that you all listen carefully to what she has to say, and cooperate.|Further details will be explained by Commander Cristina. \n I expect that you all listen carefully to what she has to say, and cooperate.|Further details will be explained by Commander Cristina. \n I expect that you all listen carefully to what she has to say, and cooperate.|Further details will be explained by Commander Cristina. \n I expect that you all listen carefully to what she has to say, and cooperate.|Further details will be explained by Commander Cristina. \n I expect that you all listen carefully to what she has to say, and cooperate.|Further details will be explained by Commander Cristina. \n I expect that you all listen carefully to what she has to say, and cooperate.|Further details will be explained by Commander Cristina. \n I expect that you all listen carefully to what she has to say, and cooperate.|Further details will be explained by Commander Cristina. \n I expect that you all listen carefully to what she has to say, and cooperate.
1019|수 시간 후...|A few hours later......|A few hours later......|A few hours later......|A few hours later......|A few hours later......|A few hours later......|A few hours later......|A few hours later......|A few hours later......
1020|크리스티나 사령관이 도착했습니다.|Commander cristina has arrived.|Commander cristina has arrived.|Commander cristina has arrived.|Commander cristina has arrived.|Commander cristina has arrived.|Commander cristina has arrived.|Commander cristina has arrived.|Commander cristina has arrived.|Commander cristina has arrived.
1021|그래, 통과시키도록.|Confirmed. Let her through.|Confirmed. Let her through.|Confirmed. Let her through.|Confirmed. Let her through.|Confirmed. Let her through.|Confirmed. Let her through.|Confirmed. Let her through.|Confirmed. Let her through.|Confirmed. Let her through.
1022|그렇게 명한 후, 곧 크리스티나 사령관이 모습을 드러내었다. \n발큐리아 부대장답게 곁에는 여성 호위부대가 동행한 상태.|After her pass has been ordered, Commander Cristina soon showed up. \n As a leader of the Valcuria Troops, she came with female escorts.|After her pass has been ordered, Commander Cristina soon showed up. \n As a leader of the Valcuria Troops, she came with female escorts.|After her pass has been ordered, Commander Cristina soon showed up. \n As a leader of the Valcuria Troops, she came with female escorts.|After her pass has been ordered, Commander Cristina soon showed up. \n As a leader of the Valcuria Troops, she came with female escorts.|After her pass has been ordered, Commander Cristina soon showed up. \n As a leader of the Valcuria Troops, she came with female escorts.|After her pass has been ordered, Commander Cristina soon showed up. \n As a leader of the Valcuria Troops, she came with female escorts.|After her pass has been ordered, Commander Cristina soon showed up. \n As a leader of the Valcuria Troops, she came with female escorts.|After her pass has been ordered, Commander Cristina soon showed up. \n As a leader of the Valcuria Troops, she came with female escorts.|After her pass has been ordered, Commander Cristina soon showed up. \n As a leader of the Valcuria Troops, she came with female escorts.
1023|반갑다, 여신의 키스 제군들.|Good to see you, Goddess Kiss team.|Good to see you, Goddess Kiss team.|Good to see you, Goddess Kiss team.|Good to see you, Goddess Kiss team.|Good to see you, Goddess Kiss team.|Good to see you, Goddess Kiss team.|Good to see you, Goddess Kiss team.|Good to see you, Goddess Kiss team.|Good to see you, Goddess Kiss team.
1024|크리스티나 사령관, 그간 연락이 뜸했습니다.|Commander Cristina, its been a long time.|Commander Cristina, its been a long time.|Commander Cristina, its been a long time.|Commander Cristina, its been a long time.|Commander Cristina, its been a long time.|Commander Cristina, its been a long time.|Commander Cristina, its been a long time.|Commander Cristina, its been a long time.|Commander Cristina, its been a long time.
1025|본부에서 뵌 이후로군요. \n오랫만입니다.|We've last met at the Headquarters. \n Yes, it's been quite some time.|We've last met at the Headquarters. \n Yes, it's been quite some time.|We've last met at the Headquarters. \n Yes, it's been quite some time.|We've last met at the Headquarters. \n Yes, it's been quite some time.|We've last met at the Headquarters. \n Yes, it's been quite some time.|We've last met at the Headquarters. \n Yes, it's been quite some time.|We've last met at the Headquarters. \n Yes, it's been quite some time.|We've last met at the Headquarters. \n Yes, it's been quite some time.|We've last met at the Headquarters. \n Yes, it's been quite some time.
1026|이영, 유영도 건강해 보여서 다행이군. \n음? 새로운 파일럿들이 꽤나 늘은 것 같은데?|E-young and You-young. You're looking alive and healthy, I'm relieved.\nHmm? I see that you have recruited some more since my last visit?|E-young and You-young. You're looking alive and healthy, I'm relieved.\nHmm? I see that you have recruited some more since my last visit?|E-young and You-young. You're looking alive and healthy, I'm relieved.\nHmm? I see that you have recruited some more since my last visit?|E-young and You-young. You're looking alive and healthy, I'm relieved.\nHmm? I see that you have recruited some more since my last visit?|E-young and You-young. You're looking alive and healthy, I'm relieved.\nHmm? I see that you have recruited some more since my last visit?|E-young and You-young. You're looking alive and healthy, I'm relieved.\nHmm? I see that you have recruited some more since my last visit?|E-young and You-young. You're looking alive and healthy, I'm relieved.\nHmm? I see that you have recruited some more since my last visit?|E-young and You-young. You're looking alive and healthy, I'm relieved.\nHmm? I see that you have recruited some more since my last visit?|E-young and You-young. You're looking alive and healthy, I'm relieved.\nHmm? I see that you have recruited some more since my last visit?
1027|이 사람이 발큐리아 부대에서 제일 높은 사람이야? \n잘 부탁해~|Hey, is she the big boss from Valcuria? \n Oh, Hi there, what's up?|Hey, is she the big boss from Valcuria? \n Oh, Hi there, what's up?|Hey, is she the big boss from Valcuria? \n Oh, Hi there, what's up?|Hey, is she the big boss from Valcuria? \n Oh, Hi there, what's up?|Hey, is she the big boss from Valcuria? \n Oh, Hi there, what's up?|Hey, is she the big boss from Valcuria? \n Oh, Hi there, what's up?|Hey, is she the big boss from Valcuria? \n Oh, Hi there, what's up?|Hey, is she the big boss from Valcuria? \n Oh, Hi there, what's up?|Hey, is she the big boss from Valcuria? \n Oh, Hi there, what's up?
1028|얘, 레나! \n사령관에게 그게 무슨 말투야!|Hey, Lena!\n That's not the way you should talk to a commander!|Hey, Lena!\n That's not the way you should talk to a commander!|Hey, Lena!\n That's not the way you should talk to a commander!|Hey, Lena!\n That's not the way you should talk to a commander!|Hey, Lena!\n That's not the way you should talk to a commander!|Hey, Lena!\n That's not the way you should talk to a commander!|Hey, Lena!\n That's not the way you should talk to a commander!|Hey, Lena!\n That's not the way you should talk to a commander!|Hey, Lena!\n That's not the way you should talk to a commander!
1029|어라, 에밀리도 달링에게 항상 반말을 하잖아? \n달링도 사령관이라구?|What, even Emily talk to our darling like this?\nYou know that our darling is also a Commander too, right?|What, even Emily talk to our darling like this?\nYou know that our darling is also a Commander too, right?|What, even Emily talk to our darling like this?\nYou know that our darling is also a Commander too, right?|What, even Emily talk to our darling like this?\nYou know that our darling is also a Commander too, right?|What, even Emily talk to our darling like this?\nYou know that our darling is also a Commander too, right?|What, even Emily talk to our darling like this?\nYou know that our darling is also a Commander too, right?|What, even Emily talk to our darling like this?\nYou know that our darling is also a Commander too, right?|What, even Emily talk to our darling like this?\nYou know that our darling is also a Commander too, right?|What, even Emily talk to our darling like this?\nYou know that our darling is also a Commander too, right?
1030|읏, 그건...|Ergh... but that's...|Ergh... but that's...|Ergh... but that's...|Ergh... but that's...|Ergh... but that's...|Ergh... but that's...|Ergh... but that's...|Ergh... but that's...|Ergh... but that's...
1031|희한하게도 반격당하고 있지 말입니다...|Awkward....|Awkward....|Awkward....|Awkward....|Awkward....|Awkward....|Awkward....|Awkward....|Awkward....
1032|하핫, 자네도 꽤나 부하들에게 사랑받고 있는 것 같군?|Haha! it looks like you are getting quite a bit of love from your soldiers here, aren't you?|Haha! it looks like you are getting quite a bit of love from your soldiers here, aren't you?|Haha! it looks like you are getting quite a bit of love from your soldiers here, aren't you?|Haha! it looks like you are getting quite a bit of love from your soldiers here, aren't you?|Haha! it looks like you are getting quite a bit of love from your soldiers here, aren't you?|Haha! it looks like you are getting quite a bit of love from your soldiers here, aren't you?|Haha! it looks like you are getting quite a bit of love from your soldiers here, aren't you?|Haha! it looks like you are getting quite a bit of love from your soldiers here, aren't you?|Haha! it looks like you are getting quite a bit of love from your soldiers here, aren't you?
1033|이게 사랑받고 있다고 말할 수 있는 걸까요...|I'm not really sure that you can call THIS love, but...|I'm not really sure that you can call THIS love, but...|I'm not really sure that you can call THIS love, but...|I'm not really sure that you can call THIS love, but...|I'm not really sure that you can call THIS love, but...|I'm not really sure that you can call THIS love, but...|I'm not really sure that you can call THIS love, but...|I'm not really sure that you can call THIS love, but...|I'm not really sure that you can call THIS love, but...
1034|발큐리아 부대에서는 소탈하고 부드러운 태도로 날 맞아 주는 자가 없으니 말이야. \n기강이 바로 잡힌건 좋지만 나로써는 조금 외롭군.|Our Valcuria lacks the soft and gentleness, they all treat me as a solid steel-cold.\nIt's good to know that my troops are disciplined, but sometimes that makes me a little lonely.|Our Valcuria lacks the soft and gentleness, they all treat me as a solid steel-cold.\nIt's good to know that my troops are disciplined, but sometimes that makes me a little lonely.|Our Valcuria lacks the soft and gentleness, they all treat me as a solid steel-cold.\nIt's good to know that my troops are disciplined, but sometimes that makes me a little lonely.|Our Valcuria lacks the soft and gentleness, they all treat me as a solid steel-cold.\nIt's good to know that my troops are disciplined, but sometimes that makes me a little lonely.|Our Valcuria lacks the soft and gentleness, they all treat me as a solid steel-cold.\nIt's good to know that my troops are disciplined, but sometimes that makes me a little lonely.|Our Valcuria lacks the soft and gentleness, they all treat me as a solid steel-cold.\nIt's good to know that my troops are disciplined, but sometimes that makes me a little lonely.|Our Valcuria lacks the soft and gentleness, they all treat me as a solid steel-cold.\nIt's good to know that my troops are disciplined, but sometimes that makes me a little lonely.|Our Valcuria lacks the soft and gentleness, they all treat me as a solid steel-cold.\nIt's good to know that my troops are disciplined, but sometimes that makes me a little lonely.|Our Valcuria lacks the soft and gentleness, they all treat me as a solid steel-cold.\nIt's good to know that my troops are disciplined, but sometimes that makes me a little lonely.
1035|레나의 저런 태도에도 화내지 않는 데다 우리 사령관을 부러워하다니, \n보기 드문 타입의 사령관이네...|Not getting angry about how Lena talked to her, but also but to envy OUR commander?\nThat's some commander we don't see usually nowadays...|Not getting angry about how Lena talked to her, but also but to envy OUR commander?\nThat's some commander we don't see usually nowadays...|Not getting angry about how Lena talked to her, but also but to envy OUR commander?\nThat's some commander we don't see usually nowadays...|Not getting angry about how Lena talked to her, but also but to envy OUR commander?\nThat's some commander we don't see usually nowadays...|Not getting angry about how Lena talked to her, but also but to envy OUR commander?\nThat's some commander we don't see usually nowadays...|Not getting angry about how Lena talked to her, but also but to envy OUR commander?\nThat's some commander we don't see usually nowadays...|Not getting angry about how Lena talked to her, but also but to envy OUR commander?\nThat's some commander we don't see usually nowadays...|Not getting angry about how Lena talked to her, but also but to envy OUR commander?\nThat's some commander we don't see usually nowadays...|Not getting angry about how Lena talked to her, but also but to envy OUR commander?\nThat's some commander we don't see usually nowadays...
1036|항상 전장에 몸담고 있는 분이니까. \n대원을 부하보다는 전우로써 대하고 있을 테지.|Well she's always struggling through the war.\nShe's much more interested in treating her troops as her fellow comrades rather than just 'some soldiers' under her command.|Well she's always struggling through the war.\nShe's much more interested in treating her troops as her fellow comrades rather than just 'some soldiers' under her command.|Well she's always struggling through the war.\nShe's much more interested in treating her troops as her fellow comrades rather than just 'some soldiers' under her command.|Well she's always struggling through the war.\nShe's much more interested in treating her troops as her fellow comrades rather than just 'some soldiers' under her command.|Well she's always struggling through the war.\nShe's much more interested in treating her troops as her fellow comrades rather than just 'some soldiers' under her command.|Well she's always struggling through the war.\nShe's much more interested in treating her troops as her fellow comrades rather than just 'some soldiers' under her command.|Well she's always struggling through the war.\nShe's much more interested in treating her troops as her fellow comrades rather than just 'some soldiers' under her command.|Well she's always struggling through the war.\nShe's much more interested in treating her troops as her fellow comrades rather than just 'some soldiers' under her command.|Well she's always struggling through the war.\nShe's much more interested in treating her troops as her fellow comrades rather than just 'some soldiers' under her command.
1037|자, 그럼...|Well, then...|Well, then...|Well, then...|Well, then...|Well, then...|Well, then...|Well, then...|Well, then...|Well, then...
1038|인사를 나눈 후, 크리스티나 사령관은 건물을 올려다 보았다.|After being introduced to each other, Commander Cristina looked up at the facility.|After being introduced to each other, Commander Cristina looked up at the facility.|After being introduced to each other, Commander Cristina looked up at the facility.|After being introduced to each other, Commander Cristina looked up at the facility.|After being introduced to each other, Commander Cristina looked up at the facility.|After being introduced to each other, Commander Cristina looked up at the facility.|After being introduced to each other, Commander Cristina looked up at the facility.|After being introduced to each other, Commander Cristina looked up at the facility.|After being introduced to each other, Commander Cristina looked up at the facility.
1039|제군들은 이제부터 이 '무한의 탑'의 테스트 플레이어 역할을 해 주어야겠다.|This is what we call, the 'Forgotten Tower' and you, Goddess Kiss have been chosen to test it out.|This is what we call, the 'Forgotten Tower' and you, Goddess Kiss have been chosen to test it out.|This is what we call, the 'Forgotten Tower' and you, Goddess Kiss have been chosen to test it out.|This is what we call, the 'Forgotten Tower' and you, Goddess Kiss have been chosen to test it out.|This is what we call, the 'Forgotten Tower' and you, Goddess Kiss have been chosen to test it out.|This is what we call, the 'Forgotten Tower' and you, Goddess Kiss have been chosen to test it out.|This is what we call, the 'Forgotten Tower' and you, Goddess Kiss have been chosen to test it out.|This is what we call, the 'Forgotten Tower' and you, Goddess Kiss have been chosen to test it out.|This is what we call, the 'Forgotten Tower' and you, Goddess Kiss have been chosen to test it out.
1040|무한의 탑... \n대체 어떤 시설인가요?|The forgotten tower... \n what kind of facility is this?|The forgotten tower... \n what kind of facility is this?|The forgotten tower... \n what kind of facility is this?|The forgotten tower... \n what kind of facility is this?|The forgotten tower... \n what kind of facility is this?|The forgotten tower... \n what kind of facility is this?|The forgotten tower... \n what kind of facility is this?|The forgotten tower... \n what kind of facility is this?|The forgotten tower... \n what kind of facility is this?
1041|R.E.A.P.의 기술을 결집하여 만들어 낸 훈련시설이다. \n무려 실전을 치렀을 때와 동일한 경험을 리스크 없이 얻을 수 있지.|This is a training facility with compiled R.E.A.P technology.\n You will be able to gain the same real-combat experience while in training with no risks.|This is a training facility with compiled R.E.A.P technology.\n You will be able to gain the same real-combat experience while in training with no risks.|This is a training facility with compiled R.E.A.P technology.\n You will be able to gain the same real-combat experience while in training with no risks.|This is a training facility with compiled R.E.A.P technology.\n You will be able to gain the same real-combat experience while in training with no risks.|This is a training facility with compiled R.E.A.P technology.\n You will be able to gain the same real-combat experience while in training with no risks.|This is a training facility with compiled R.E.A.P technology.\n You will be able to gain the same real-combat experience while in training with no risks.|This is a training facility with compiled R.E.A.P technology.\n You will be able to gain the same real-combat experience while in training with no risks.|This is a training facility with compiled R.E.A.P technology.\n You will be able to gain the same real-combat experience while in training with no risks.|This is a training facility with compiled R.E.A.P technology.\n You will be able to gain the same real-combat experience while in training with no risks.
